test_text,retrieval_id,cos_sim,cos_distance,label
"Vaginal discharge yangu ina stink at times,, I'm a thick woman na it really sucks that it happens,, I shaved down there, my hygiene iko top but still it stinks... Pia kuna vile ina taste and I can't receive head with that kind of taste,, please don't judge me that I tasted it,, my man fingered me and put his fingers in my mouth nkafeel kupuke... What could be the problem?",101,0.5758579,0.42414212,1
Nikuulize Kama breast yangu imefura hapo juu moja tu why is that,361,0.55120885,0.44879115,1
"I'm so passionate about helping youths and stuff like that, can one be an ambassador of wazzii?",249,0.36541933,0.6345807,1
Which kind of family planning is good ?,1,0.67287403,0.32712597,1
"Is it okay when a partner doesn't want to tell you things that concern him and he use to do that before?, , Is it manipulation if a partner all over sudden starts being harsh even when he's wrong so that you don't question them any more?, , What should I do when a partner is a drunkard and a lier?",136,0.42877588,0.5712241,1
by,148,0.23938021,0.76061976,0
How exactly does one deal with sexual tensions and cravings,21,0.5524917,0.44750828,1
How long should sameone date,206,0.3732525,0.6267475,1
What cud be the problem when a girl has sex without protection and still don’t get pregnant?,314,0.5784826,0.42151737,1
"What is the signifant difference between syphilis , Chlamydia and gonorrhea?",263,0.51047856,0.48952144,1
2023-12-21T18:55:01.480686Z,352,0.31396937,0.6860306,0
Should I reply to him?,377,0.23378217,0.7662178,1
2024-09-20T13:10:01.670633Z,352,0.31703222,0.6829678,0
I was asking which contraceptive/femiplan is good for a newly mother,1,0.61697,0.38303,1
1,125,0.32215124,0.67784876,0
I'm pregnant and don't want to keep it what should I do??,19,0.4941598,0.5058402,1
Nimekua nilitumia depo for the last 9months...let's say a year na cjawai nyesha Hadi leo is it normal,137,0.6823176,0.3176824,1
Is spotting a sign of pregnancy and what are signs of pregnancy,207,0.5927706,0.40722942,1
We are worried that we might be pregnant,19,0.49202004,0.50798,1
Niliget implant contraceptive kitambo kidogo I got my periods early na since then it's been like 2week na bado napata droplets kidogo Kila siku its so uncomfortable ju inaeza come tu at any time na siyuko prepared is it normal?,306,0.6260032,0.3739968,1
Want to know more about Viagra pills,306,0.51077384,0.48922616,1
Can someone become thin becourse of having sex and how can I improve my body size quickly,289,0.36259708,0.6374029,1
I'm currently in a three years relationship with a guy n off late he's been acting funny since last year October......I found out he's in a relationship with his baby mama and the mode of their convo is kinda suspicious.....I asked but he denied the whole affair and stated that they only talk of the child's welfare........around last week or so he posted her on WhatsApp n screensaver to his phone.....wen I asked he stated that it was a dare.....his behaviour has tremendously changed yet he keeps claiming to love me and does not want to lose me.....I'm kinda confused with where I'm in his life,297,0.37744665,0.62255335,1
What if nlihave sex like 24hrs ago na sidai kutake pills kuprevent ball which other method can I use?,1,0.6246341,0.3753659,1
How do I make the lady who made me join this platform my girlfriend. She's cute I really like her,128,0.28910634,0.71089363,1
2023-12-16T19:52:01.267800Z,352,0.31628793,0.68371207,0
issue,37,0.37174487,0.6282551,1
is it normal for someone to masturbate?,301,0.45332262,0.54667735,1
2024-09-03T13:14:01.396521Z,352,0.32571903,0.674281,0
"Sasa , I had communicated  about the spotting I was experiencing , Sasa toka last week I've been experiencing heavy periods , I mean like blood clots all through , Sasa sijui ni dawa gani nafaa kumeza",211,0.66793054,0.33206946,1
How long does mensuration last,56,0.36668783,0.63331217,1
Is it okay to date as a teen,9,0.4225278,0.5774722,1
2,355,0.39452732,0.6054727,0
"I've been having  dry vagina for sometime now,what might be the problem?",39,0.584961,0.415039,1
Am i pregnant or not because i havent had my periods yet,207,0.43995965,0.56004035,1
I am a girl but I sometimes crush on girls.what should I do,194,0.4408999,0.5591001,1
2024-05-28T18:46:01.534122Z,352,0.32083076,0.67916924,0
"Have been dating someone since last year December he loves me so much we have never had sex but we exchange nudes and everything we ever kissed but we are having troubles in our relationship my love for him has developed more and we don't get time for us ,,he has reduced the way he calls and texts me what could be the problem",115,0.46064332,0.5393567,1
Mbona my breast nahisi uchungu alf my nipples ni ngumu especially ikishika maji na inakaa kama imecrack karibu na nipple,220,0.57239175,0.42760825,1
Hello! Can I get this video...I need my friend to get this information she is not on Instagram,219,0.24361219,0.7563878,1
3,355,0.30055192,0.6994481,0
if you have unprotected sex 3days before periods unaeza pata ball,320,0.7341486,0.26585138,0
issue,37,0.37174487,0.6282551,1
by,148,0.23938021,0.76061976,0
Is it ok for a woman to make the first move kwa dude,43,0.356993,0.64300704,1
What the right to date,9,0.42336902,0.57663095,1
Does morning pill work during ovulation,285,0.52147824,0.47852176,1
How can I improve my performance in bed cause i us to lust for 2min,155,0.46531934,0.53468066,1
Ok,188,0.36119157,0.6388084,0
Uko aje,347,0.605104,0.39489597,1
Can I have a normal life after having a child in my teen years,117,0.28540972,0.7145903,1
Naeza pata mchumba huku,160,0.6955574,0.30444258,1
Of late my vagina imeshinda ikukua wet sana kuna shida,24,0.6371895,0.3628105,1
2024-05-17T18:05:01.508411Z,352,0.31551397,0.68448603,0
"Mahn i have this girlfriend,so like tulibreak for Christmas yeye akaenda kwao na mimi kwetu,then b4 tuende home tulihave sex tho sikumwaga ndani,after a few days she confirmed to me that ako na ball, Tukadecide tusitoe,tuweke but kuna venye tu ni kama hatufeeliani kabisa ady inafika point nashuku io ball si yangu,sa nilkua nauliza in this state what should i do?",115,0.6248075,0.37519252,1
1,125,0.32215124,0.67784876,0
Am gay and i can't tell my parents. What should i do?,275,0.38183948,0.6181605,1
What can be causing recurring yeast infections and candidiasis,263,0.37423983,0.6257602,1
"nikinyesha napatanga vitu zinakaa pimples but they aint pimples na nikizifinya huwa hazitoi maji instead they get painful,,,,,,,,na haziiishi what could be the problem",120,0.4422646,0.55773544,1
