col0,col1,col2
Safe Sex,,"❓Would u like 2 learn about hormonal contraception now? (pill, iud, 🌺vaginal ring, injection etc)

Kuna types mob sana za  hormonal contraception kama the pill 💊, injection💉 , IUD,  implant na vaginal ring ⭕.
 A hormone ni chemical natural kwa body yenye ina play a role in sexual growth, development na reproduction.🌻

""Hormonal contraceptives zinawork kuprevent pregnancy 🤰🏿 pekee, si STIs. Ndio maana ni important ku-use condoms pamoja nazo 😃 Ikimanage hormone levels flani in the body, inaezastop an egg 🥚 from kufertiliziwa au ku-implantiwa properly. 

Most types zinarelease the progestin hormone. Wacha niexplain vile zinawork. 
First, tunaneed kubonga juu ya the Cervix , Vagina 🌺 na uterus""
""The cervix ni kama security guard ya reproductive system yetu. Inaconnect the  vagina🌺to the uterus. Opening ya the cervix ni REALLY small. 

The vagina🌺 ni ile part tube-like iko huko ndani ya the female body na iko covered na labia (🌺vaginal lips). Inaconnect the outside female genitals to the uterus. 

The Uterus ni the womb. Iko connected to the vagina🌺na a thick strong cervix. Madame na wamama wengi wako na uterus, but huwezi icheki from the outside. Hapo ndio watoi wanagrow in the female body.""
""Progestin huwa inathicken opening ya the cervix, so inamake that secruity guard so much stronger. Hii inahelp kuprevent pregnancy🤰🏿by kumake it really difficult for the sperm kufikia an egg ⛔. 

Progestin pia, inahelp kustop the ovaries from kurealease eggs (ovulation). Kama sperm haiezi reach an egg, hakuna fertilisation inahappen. Meaning hakuna mtoi. 🙅🏽‍♂️

Types zingine huwa zinarelease Estrogen. Hii hormone inahelp kuprevent ovaries from kurelease an egg kila month. So pia inaprevent fertilisation (kupata ball 🤰🏿)."""
Safe Sex,,❓Lots of hormonal contraceptions have the same pros and cons. Unataka kulearn about them?
Safe Sex,,"""PROS: 
1. Zinakuanga sooo convenient. Si must ukumbuke ku-do anything just before uhave sex.
2. Ukiziuse vizuri, zinakuanga very effective kukuprotect from pregnancy🤰🏿 .
3. Hormones hazi-limit ability yako ya kuget pregnant🤰🏿forever, ni only for the time unazitake.""

""CONS: 
1. They only help protect from pregnancy NOT STIs. Only barrier methods like condoms protect against STIs
2. Increased hormone levels can bring some side effects to our bodies. These can include mood swings, headaches, breast tenderness, weight flactuations or acne and pimples.
3. Hormones can also affect ur sexual desire.

Increased hormones can also affect ur periods. Sometimes it can help lighten ur monthly flow, but kwa wadau wengine, it might lead to heavier flows or 'spotting' (light bleeding in between periods). ""

""Hormonal contraceptives si 'one size fits all', sometimes ni must utry different ones ndio ucheki ni gani inafit best na body yako. 🤸🏽‍♀️🤘🏾.

❓Ni hormonal contraceptives gani unaezataka ku-learn more about?"""
Safe Sex,,"Vaginall ring ⭕ni ring hard full of both estrogen and progestin hormones na kawa huwa ni postpartum mums ndio hupewa. Ok, so inaingia aje huko?🤔

Well, ukitumia fingers zako, unaeka the ring in your vagina🌺na inakaa at the top karibu na cervix yako. Then ina absorb the hormones into ur body. Unaeza ichange every 3-5 weeks, depending on schedule yako (no more than 6 weeks!)

 Ukisha itoa, huwa inaprompt period🩸yako kucome. Ukireplace na a new one, make sure iko within the expiry date. Keep new rings kwa packaging yao until uko ready kuzitumia. Ukiwa unanyesha🩸, unaeza zitumia alongside regular tampons na menstural cups, no probs. 🙂"
Safe Sex,,"Contraceptive injection💉ni sindano ya progestin hormones inakuanga injected kwa arm au kwa haga. The pain is quick & utaneed kuiget every 8-13 weeks ndio ikue effective. 🙂

Ukiiget during ur period🩸, utaneed ku-use condoms for 7 days after."
Safe Sex,,"The pill💊inawork ikiwa swallowed same time kila day. Kuna pills 💊 za progestin only, na kuna zile ziko na estrogen na progestin combined.
 
Progestin pill 💊ni zile unatake every day. The combined pill unatake for 21 days then unahave a 7 day break for period 🩸yako. Then unastart the cycle again. 

Health worker ata kuadvise which is best for ur body. 😊"
Safe Sex,,"Intra-uterine device (IUD) ni a tiny t-shape plastic inaekwa ndani ya the uterus thru the vagina🌺kwa clinic. Sometimes inaitwa *coil* or a *loop*. 

IUDs zingine hurelease the hormone progestin, na zingine ziko na copper, yenye iko na antifertility effects.  For hizo za copper, sperm INAHATE copper, 😡so the IUD inaeza repel sperm from kuingia uterus ⛔

IUD inaprevent pregnancy 🤰🏿 but sio STIs. Depending on the type, inaezakuwa effective for 3, 5 or 10  years. Itnaezatolewa at any time at the clinic🏥. How cool is that? 😎A tiny IUD inaezahelp kuprevent pregnancy🤰🏿for years! "
Safe Sex,,"The implant ni a thin, plastic rod inaekwa under the skin kwa mkono at a clinic🏥. Inahelp kuprevent pregnancy🤰🏿by kurelease a tiny amount of progestin.

 Kuna type mbili- one rod, yenye inalast 3 years and two rod, yenye inaezalast up to 5 years😎  "
Safe Sex,,"❓On top of the pros👍& cons👎 tulikua tushasema about hormonal contraception, unataka kujua zenye ziko specific to the injection💉?
""PROS:
1 .99% effective iki maintainiwa correctly.
2. Hakuna need ya ku-use daily
3. More private than birth controls zingine

CONS: 
1. Medium maintenance, which means utaneed kucheki nurse/dr kila 8 -13 weeks"""
,,
Safe Sex,,"""❓On top of the pros👍& cons👎 wtulikua tushamention, unataka kujua zile ziko specific to the implant?""

""PROS:
1. 99% effective ikitumika correctly
2. Ni low mainteance: hakuna need ya kuremember ku-use daily na inalasts 3 years!✅
3. Juu inasetiwa kwa mkono, inaeza kuwa less invasive than zingine kama the IUD.

CONS: 
1. Utaneed procedure small ndio iwekwe na itolewe. Inaeza kuwa a bit painful during hii process. 
2. Itawork after 7 days, meaning utaneed ku-use condoms ikisettle kwa body yako."""
,,
Safe Sex,,"❓On top of the pros👍& cons👎 of hormonal methods that we already mentioned, unataka kujua zenye ziko specific to the pill💊?        

""PROS: 
1. It's 99% effective ukiuse correctly. 
2. Ni discrete 
3. Unaeza use kucontrol ur periods na the 21 day pill. 

CONS:
1. Lazima ukumbuke kuitake every day. Ukiforget one day, ni must uitake as soon as una remember, na hutakua protected for the next 7 days."""
,,
Safe Sex,,"❓ On top of the pros👍& cons👎 we already mentioned, about hormonal contraception, unataka kujua zenye ziko specific to the IUD?        

""PROS:
1. 99% effective when used correctly.
2. It works right away ✅ and is low maintenance.
3. The copper coil will have no hormonal side effects 
4. It's easily reversible, u just need to get it removed. 

CONS: 
1. There may have some 🌺vaginal discomfort for a few weeks or months after insertion 🤕
2. Periods may be longer and heavier"""
,,
Safe Sex,,"❓On top of the pros👍& cons👎 tushamention about hormonal contraception, unataka kujua zenye ziko specific to the vaginall ring⭕?

""PROS:
1. Iko 99% effective uki-use correctly. 
2. Ukiingiza ring yako within 5 days of ur period kustart, itawork straight away
3. Ni easy kuinsert na readily availble kwa clinics.
4. Inaezahelp kucontrol period cycle yako.  

CONS:
1. Uki-use the ring more than 5 days after ur period istart, utahave kuwait 7 days hadi ikue effective. So best ku-use conoms during hii time pia. 
2. Be careful to keep it in place, sometimes sports au kuinsert tampons or sex inaezafanya islip out."""
Safe Sex,,❓Unataka kulearn about which contraception next?
,,
Safe Sex,Emergency contracption ni gani sasa?,"""Wasee wengi wame-ask about emergency contraception @contact.name - FAQ ndio hii inacome thru! 🤗

Kama ume-have unprotected sex, au una-believe ur contraception has failed😬 (like condom iili-break or uli-forget ku-take contraceptive pill), then unaweza taka ku-take emergency contraception ku-prevent pregnancy unwanted.""
""Unaweza kuwa umeskia juu ya IUD au 'emergency contraception (EC) pill' au Plan B names zake ni mob. 

The most important thing to know ni ati emergency contraception ni a safe na effective way ya ku-prevent pregnancy when used the right way. 🤩""
Tubonge juu ya vitu 1-2, like how and when emergency contraception huwork, vile ina-cost, na place utaiget. 😊"
Safe Sex,,"First, unarada contraception ni nini?"
Safe Sex,,
Safe Sex,,
Safe Sex,,"Usistress! - I've got the info u need!

""EC pill💊inafaa kuwa available for FREE at ur nearest clinic.👩🏾‍⚕️

Kuna times clinic haina in stock. But usijali, options bado ziko!""
""Kama clinic yako haina stock,  morning after pill 💊huuzwa kwa chemist over the counter. Price hua between Ksh. 120 na Ksh. 200.

Ukiwa over 12 years old, unaeza iget bila adult present.""
""Pia unaeza enda Penda Health uget morning after pill 💊 au uwekwe Intrauterine Device (IUD).

Nikupe deets za vile uta link up na wao?"""
Safe Sex,,"Freshi! Tu-chat a little more juu ya  types za emergency contraception.

""EC pill'💊 ni contraceptive tablet that una-take ku-prevent pregnancy. It's super effective so una-need tu ku-take one EC pill ku-stop pregnancy 🤰🏾.

Unajua unaweza-itake how long after sex? 🤔""

The sooner after sex u take it, the better. But unaeza itake up to 120 hours (5 days) after sex pia.
Ndio ikue effective, unaneed tu kutake pill💊moja."""
Safe Sex,,
Safe Sex,,"""Wasee wa WAZZII Hotline si robots kama mimi 😅, they're highly qualified people na wako na years of experience helping young women 👩🏾‍⚕️

If you want to contact them, kuna ma-options to do that.""
""Wacall for FREE on ☎️ 0800724577.

Hii ndio the fastest way ku-get help & ku-explore ma-options zako. Hapa hakuna judgements juu focus yao ni ku kuhelp!

Pia, wanaeza do phone consultations za contraception pill, patch & more! 😮"""
Safe Sex,,
Safe Sex,,"""Cheki, the morning after pill💊hu-stop pregnancy🤰🏾by ku-delay ovulation.

So haiwezi end pregnancy ina-exist, inastop tu a new one.

Unataka nidefine ovulation?""
Ovulation ni release ya egg from your ovary. Huwa ina-happen around 13 to 15 days before u-start kunyesha.

""Ukisha take EC pill💊,  side effects kiasi zinaweza ku-hit for a few days kama...
➡️ Nausea au vomiting. 🤢
➡️ Dizziness. 🥴
➡️ Ku-feel tired. 🥱
➡️ Headaches. 🤕
➡️ Breast tenderness. 👐🏾
➡️ Bleeding between periods or heavier periods. 🩸
➡️ Lower abdominal pain or cramps. 😖"""
Safe Sex,,"Heads up tu! - uki-take EC pill, unafaa tu kujua ni type ya short term contraception. Meaning...uta-need ku-find form ingine ya contraception for the future ndio uendelee ku-enjoy sex life safe na healthy with ur bae.

FYI, utaneed ku-use condom pia ⭐️kila time⭐️ una have sex ndio uprevent transmission ya sexually transmitted infections (STIs).

Bado tuna-vibe?"
Safe Sex,,"Form ingine ya emergency contraception ni intrauterine device (IUD) AKA the coil.
""IUD inaweza sound scary but actually ni quick and easy.✨

Ni ka-device T-shaped plastic and copper...katiny...huwa kanawekwa kwa uterus na a trained healthcare provider (a doctor au a nurse). 

Inaweza insertiwa up to 5 days after unprotected sex ku-stop a pregnancy.

Do u need me to define uterus?""
""Uterus inajulikana pia as the womb. Iko connected to  the vagina🌺na a thick strong cervix.

Most people wenye wako na 🌺vagina wako na uterus, but huwezi icheki from the outside. Hapo ndio babies hu-grow kwa the female body.""
IUD ina-stop pregnancy by stopping the egg from implanting kwa womb yako or being fertilised.

Kawa, wasee hufeel some cramping na pain wakiwekewa IUD, but huwa inalast tu a few minutes. Unaweza take pain killers before the procedure kama uko worried. 💊 
Wasee wengine pia hu-feel dizzy during ama right after IUD iwekwe, na kuna chance unaweza faint au ufeel kufaint. If u r worried about this, inaezakua poa ukiask beste🫂 acome appointment na wewe.

""Ikisha wekwa, unawezafeel  some backache ama cramping, ama spotting for a bit🩸, so ni idea poa ku-chill tu na ku-rest. 
Side effects longer zinaezakua kama changes kwa period yako, inawezakua lighter au heavier au ilast longer.""

Ikisha wekwa,  IUD hukua contraceptive long lasting  - inaku-protect from pregnancy for 5 or 10 years, depending on model imewekwa. But unawezatolewa anytime unataka.
""Remember - IUD inaku-protect from pregnancy, si STIs.

So bado uta-need ku-use a condom ⭐️kila time⭐️ una-have sex to prevent the transmission of STIs.

Tuna-use protection ndio tu-stay safe, sio?""
Unataka kujua place unawezaget emergency contraception? 👩🏾‍⚕️💊🏥"
Safe Sex,,
Safe Sex,,"Kujua kile unaeza-do ku-stop pregnancy unintended in case contraceptive ifail au kama umehave unprotected sex ni boss move! 

🤩 Big up to you!

Hii info imekujenga leo?

Msee asiwahi kill vibe yako juu ya kutaka kujua more about sexual health na rights zako. It's brave and super important! 💪🏾

That's all I have on emergency contraception. Unataka tubonge juu ya something else?"
,,
Safe Sex,Kupull out itamake sure sitaget ball?😗,"""Ok so nataka kuclear something up first. *Natural methods hazikuangi very effective kwa kuprevent pregnancy*🤰🏿.

Kuna natural methods 6. Most common ones ni kama kuplan kuhave sex only during safe days📆 AND ku-pull out the penis🍆 before imwage in the vagina 🌺 (""""""""pull-out method""""""""). 

Wacha niexplain sth...""
""Unacheki,  madem huget p’s🩸for about 2-7 days kwa cycle. 

Menstrual cycle ya girls huwa na many fertile days and a few safe days 📆 na nitakuteach how to count them. 

Girls hukuwa the most fertile around ovulation so kujua safe days zako zinaezahelp kuavoid kuget ball🤰🏿.""
""Safe days 📆  huwa the first 7 to 11 days za cycle yako when uko least fertile (from day 1 ya p’s) but inadepend on how many days ur cycle is. E.g. Kama longest cycle yako ni ya 30 days, utaminus 30-11=19. So, count 19 days from 30 na utaget 22nd as your last fertile day and you can have unprotected sex the next day.🎊 

Kama shortest cycle yako ni 26 days, fanya 26-18=8. Count 8 from day one ya p’s uget the first fertile day ya cycle yako so unafaa kuget another form of contraception during that time ndio uavoid kuget ball🤰🏿.

Ps. menstrual 🩸cycle huchange sometimes juu ya many factors like travel or dawa so safe days only work cycle ikiwa regular.""
""Also, girls wanaeza get ball🤰🏿by pre-ejaculation or pre-cum (ile stuff hutoka from the penis 🍆before imwage) juu bado iko na sperm zenye zinaeza fertilise an egg. 

PLUS, natural methods hazita kuprotect from transmission ya STIs."""
,,
Safe Sex,STI ni nini?,"""""""Great 🙌 So, wasee wengi huuliza about this!

Nitakushow everything I know about STIs (Sexually Transmitted Infections).
Unaeza kuwa umeskia about some of them before e.g. gonorrhea, chlamydia, herpes ...""""

Ndio uweze kuenjoy safer sex, you gotta know the facts. Before tustart, niko curious ... Unajua vile STIs huwa transmitted?

Transmission ya STIs huhappen when certain bodily fluids💦zinamix time ya sexual activity, when genitals zinacome in contact with each other au through oral sex (kutouch genitals na mdomo).

Unaeza prevent STIs from kuwa transmitted by using condoms. Condoms huwa zinahelp by kuact as a barrier between the genital fluids💦including semen and 🌺vaginal discharge ndio zisimix.
""""That's why ni super important umake sure ume-use condom protection kila time unahave sex - hata kama ni with the same partner. Na hata kama ni 'just' oral sex. Ku-use a condom inaeza kuhelp kukeep safe!

Forms zingine za contraception kama the pill, the vaginal ring ⭕au IUD hazikuprotect against STI transmission. Condoms ni the only method inaprevent STIs. Do you want me to define sexual activity au genitals?""

""First, hapo kwa genitals, ni poa kujua regular signs za puberty ni gani. Time ya puberty, the vagina🌺hustart kuproduce a small amount of liquids or gelstimes different za cycle yako. Hio ni normal kabisa na inaitwa 🌺vaginal discharge💦.  

Kuna types different za discharge kama ile white or clear gel yenye hutoka as njia ya vagina 🌺 yako kujiclean. Clever, right?! 🤓 (Ndio maana huneed kuwash vulva yako na soap, it self-cleans!)""
Most 🌺vaginal discharge 💦huwa healthy but kuna zile si healthy. So unafaa kustart kuworry when? Ikiwa foamy, itchy, yellow, or yellow-green in color, ama iko na smell very strong, iinaeza kua STI or infection ingine. So keep track of any irregular changes kwa discharge yako. ⭐️
""Sasa tubonge juu ya STI symptoms zingine common unaeza look out for 👀.Burning when u pee, a rash or blisters or itching around ur genitals zote ni signs unafaa kutake note of.

STIs zingine hazina symptoms at all! Ziko invisible! 🤯Meaning, ni impossible kujua kama mtu ako na a positive STI status just by kumwangalia, you gotta go to a health clinic ndio ujue for sure!""
""Even though hatuwezi ziona, STIs bado zina affect health yetu 🤒 and zikiachwa bila kuwa treated zinaeza kuwa serious to the point of kutumake infertile.

Na juu msee anaweza kosa kujua ako na a positive STI status, anaeza pass it on to someone else bila kujua, by mistake!🤭""
""The best way ku-look after yourself ni kujua your STI status by kuenda kwa health clinic regularly.

Ni better kutreat the STI early ndio ikue less likely kukuwa long term consequences. The longer u leave it, the harder it is to treat STIs with medicine.""

❓ Before nitalk about what getting treatment is like. Unataka kujua place unaeza enda?

We ni mnoma💫 So u know unaezaenda to a clinic / ur doctor / a hospital.
That's okay! Najua! 🤓 Uko na options! Unaeza enda to a clinic / ur doctor / a hospital.

""First, doki atakuuliza about your symptoms and sexual history. Usijali, anataka hio information ndio akuhelp😊

Na hio info, doki wako ataweza kukuhelp out na advice ya dawa na next steps for treatment!👩🏾‍⚕️  Kama wewe au a sexual partner ako na positive status ni important kuidiscuss na kuvisit clinic pamoja ndio mstay healthy!

""""Kutake care of health yako by getting checked ni way ya kushow that unajirespect na una jilove❣️
It's ur body & u r in charge 💪""""

So, nishakushow what I know about STIs, how inaeza kuwa transmitted, what to look out for, na vile msee huget treated.
""""Unanibamba vile unalearn more about ur health @contact.name 💫. You're amazing ⭐️!!

If you like, Naeza kukuplug deets of a WAZZII approved health service where unaeza get STI treatment if you ever need to.""""
OK, in that case, uko ready kutake a quiz on what u've learned🤓 , au  unataka tuchat more about something else?"""
,,
,,
Safe Sex,Naeza avoid kupata ball aje? 🤰🏿,"""Hey @contact.name - ni fiti una ask about pregnancy! 🤰🏿

Kuongea juu ya pregnancy inaeza feel stressful! I know! But usiworry - I'm here for u! 💫
What pregnancy is, how we get pregnant, & what the common signs to look out for can feel like A LOT of info!""

""Kuna stories kibao huku nje. 👀 Ni important kujua the facts 🤓 

The more tunajua, the safer sex we can have! Knowledge is power 💪 
R u ready to learn more ?""

AWESOME! Let the fact-finding begin🕵🏾‍♀️

Great. Don't worry - Nita lead the way.🕵🏾‍♀️

""First things first!
Wacha nikushow ⭐️WHAT⭐️ pregnancy🤰is & ⭐️HOW⭐️ it happens.

Kila month, bodies zetu hurelease an egg from ovaries zetu & zinaisend into our uterus. 
Time ya sex between a penis🍆na vagina🌺, sperm zinaeza swim out of the penis & into the vagina🌺 through the cervix into the uterus 
Kama egg & sperm zitameet & join together tunaiita fertlisation.

Time the fertilised egg inaattach to ur uterus inamean uko na ball. 🤰
Kama egg & sperm hazijameet inamean no baby 🙅‍♀️
Unaneed nidefine anything so far?"""
,,
Safe Sex,,"""Sasa juu umeget the what and how, tubonge juu ya some facts about kuget ball 🤓
*FACT*: Unaezaget ball🤰 first time uhave sex. 
*FACT*: Unaeza get ball🤰on ur period! Sperm inaeza live kwa body yako for several days 🤯 Zikimeet egg yako, unaeza get pregnant❗️
*FACT*: Haimatter where ⛱ 🛀 una have sex ama what position unatumia, unaeza get pregnant🤰.
*FACT*: 🧼 Kuosha vagina🌺 au kupee after sex haita kustop from kuget ball. (Just remember, soap si necessary. Unless medical professional a-prescribes kitu.) 
*FACT*: Unaeza get ball 🤰 ata kama hakuna ejaculation - pre-cum iko na some sperm in it.
*FACT*: any time unahave sex bila contraceptive, kuna risk ya pregnancy 🤰.""

""So kama ulihave sex - especially unprotected sex bila contraception - kuna chance unaezakua na ball.

Huwezi tell uko pregnant straight after sex, but kuna signs unaeza look out for. Can u think of any?""

Great! Wacha tucheki kama tunajua the same ones.
Don't worry - Nitakushow everything i know.

But first, do u need me to define anything we've just talked about?"
,,
Safe Sex,,"""The first sign hua ni missed period, but usipanic 😰 sometimes unaeza miss a period juu ya stress or sickness 🤒 na periods zinaeza kuwa irregular. Also, time ya pregnancy, ni normal for some people ku-experience light 'spotting' yenye inaeza fanana na period. 

Early signs zingine common ni kama nausea, sensitive breasts, ama bloating. But hizi pia zinaezakua signs za kustart kunyesha. 

Kuspot signs za kuwa paged inaeza kuwa confusing, so the VERY best way ya kujua ni kutake a pregnancy test yenye unaeza get kwa clinic au pharmacy.""
""Kuhave sex inaeza kuwa exciting & fun. We may not want to think about pregnancy, but ni important kujua about hizi stuff ndio tuenjoy safer sex na tuavoid unplanned pregancies.  
Knowledge is power 🌟""

Okay, that's everything I know! Tumeenda through a lot leo! 👏 Ulifind hii info helpful? 🤷‍♀️

 Sorry. Maybe tukichat more, naeza help with other things . Cheki ""More topics""

💪AWESOME! 🤩 I'm glad we could chat today.

""""""I'm proud of u for learning more about ur body & ur health! 💪 U rock!

The more unajua the more unaeza make healthy sexual choices zenye ni right for u!
So now .... uko ready for a quiz, au unataka kuchat more?""

I get SO excited to see you asking more about how you can care for your sexual health! You're a legit star.🎖
""Let's start from the beginning. Ndio tuweze kutake care of our wellbeing, tunaneed kujua the facts, ama aje? 

For example, what's the deal with health services? What about sexual health services? 

Uko ready kustart kudig into the details? 🤔"""
,,
Health Services,What are health services?,"Whoop whoop 🙌
""I stan a 👑 mwenye ako proactive in finding out about services zenye ataneed, instead of only reacting time kuna something wrong! 

Inahelp kuwa prepared so that unaezamake informed decisions, that's the thing about our health, right? Pia inaapply to sexual health too 👊🏿""

Sexual health ni about kuembrace na kuprioritize body yako na sexuality throughout life yako. Kuenda to your nearest clinic, ama pharmacy, ni part of that. What's cool is that there are a few ways to do this! Unaeza enda to a clinic or pharmacy OR unaweza wacall tu! 📞"
Health Services,,"Unajua the pros and cons za hizi options? ⚖️

Si unanijazz! Let's see if your knowledge matches the facts...
Na hio ni sawa kabisa. Let me give it to you straight...

Wasee wengi hawajui and that's okay! Let's get the facts straght.
""First, *teleservices* yaani kucall! Hii ndio the easier way, especially kama uko nervous ama too busy. Unaeza call tu centre inaoffer hizi services, kama hotline yetu ya WAZZII. 

The downside ni wanaeza suggest uende kwa centre yenyewe for a follow up wakifeel ni necessary (but is it really a downside when inaimprove health yako? 😉 ""
Unaeza taka kufind a health service 🏥 near you?

Haina noma.🤗 Ukineed hizi services, nishow. Nitakuconnect..."
Health Services,,"Next up, *pharmacies*! Hizi zinakuanga fiti sana for getting ur contraception or ata time unaneed some quick advice. Ziko kila place pia, so super accessible. 

Also, if unaneed more support, some pharmacies zinaeza kua na what you need but pia wanaeza kushow uuishie kwa clinic, especially kama unaneed tests au contraception. "
Health Services,,"Haya! Sasa tuingie kwa the third option, kwenda kwa *health centre*! Ready to get into the nitty, gritty?

Hakuna kitu wrong na uncertainty,  Thanks for being honest! Let's ease our way into it, okay? ❤️

I knew it 😏 I've got you! Let's get the facts.

 I get that, no hard feelings, okay? ❤️ Nitakua hapa ukiwa ready ku-learn more. 

""Kuenda kwa health centre ni poa juu ya hio face-to-face action! Sometimes inafeel poa kubonga na a real person. Going in means you can ask❓about your body, period or puberty na uget any tests or treatment around STIs, HIV, contraception au pregnancy. Talk about winning 🏆 by taking charge of your sexual health 🌟🌟🌟""

""Hizi places hua important for our health na KILA MTU anaziuse! That's why sometimes, kuna kuanga na line long so try kuishia mapema 📆  or enda na beshte yako ndio ukue na msee wa kubonga na yeye ukiwait. 

Unaeza kuwa able kuget testing/contraceptive services or kuget an examination saa hio hio, au wanaeza book appointment urudi another day. Ni normal kabisa, hawatry kumake life yako difficult, promise!  *Remember, clinic most ni free but kuna charges kiasi for some things*""

Can we say it together now: I have a right to access these services! 💪

Yesss! Kuwa proactive na kureach out to health services ita kuhelp kustay in the know 🎯.  Ni poa kushinda ukiask questions na kulearn about your sexual health, so you can be in the driver's seat, enjoy safer sex and stay healthy!  🙌🏽 😊 

But I get it, sometimes we get shy or nervous when we have to interact with adults at clinics or centres like these 😐. It's common, right?
I'm there with you. Na naget, kuwa nervous about hizi vitu ni normal na it's completely okay. Be gentle witth yourself, okay? ❤️"
Health Services,,"I get that! Sometimes pia tunakuanga unsure about vile tunafeel but I'm here kukuremind that it's okay either way. Feel those feels. ❤️

Yaaaaass! I hope you share what you know with your pals 👭

Me husema: it's okay to feel your feels. Especially ikicome to making choices za kulive your best life!  Remember that health professionals wako hapo kutuguide na  kutuhelp tustay healthy ☀️ You've got this! 💪

Nalove chats zetu saana 🥰 Well done on taking this step! Na sasa juu umetake hii step... ungetaka deets za any health service?
Okay! Wanna talk about anything else?

Yaaas! Wewe ni ule msee fr fr! Well done 4 taking the first step to caring 4 ur sexual health 💫. You deserve this!"
Health Services,,"Kuenda kwa clinic🏩 or any place yenye inadeal na sexual health inaezafeel a bit overwhelming. Wasee wengi hubonga juu ya 🦋🦋🦋 butterflies na nerves wanafeel saa yenye hawajui nini wanaexpect ihappen. That's why WAZZII iko hapa kushare some lessons na wewe 💃🏽 You in?
Let's do this 🙌
""Sexual health ni all about kuembrace na kuprioritize your body and sexuality throughout your life, na kuishia clinic au pharmacy 🏩, ni a part of that. 
Uko na right ya kuaccess any health services.""

""So unaeza expect nini ukiishia kwa clinic 🏩 for sexual health services?🤔

Vitu zinaeza kuwa different depending on the situations, but health services zinafaa kuwa *confidential*. That's 1 stress out of the way, right? 😏""
""Kitu unaezado ikuhelp kuprepare ni kuwrite down any questions before uende clinic 📝 Itaimake easier 4 u kukumbuka what u wanted to speak about na kama uko na Qs, unaeza ziget answered by the nurse or counsellor. 

Remember, this is a professional so I promise, hutawauliza kitu hawajaiskia before 😅. ""
"
Health Services,,"Let's get into the details of what you might be asked when you go into a health centre. You got this?
""Ndio wa understand sexual health yako, unaezaulizwa vitu kama: whether u're sexually active, if u use protection, kama uko on any contraception and any info around your period or vaccines against STIs. 

All of this is normal! Promise. 

Honesty is the best policy hapa juu nurse👩🏿‍⚕️ or counsellor👨🏾‍⚕️anatafuta accurate info ndio wakuhelp in the best way 🎯.""
Kama hauifeel, remember uko na right to privacy so si must ushare any information hutaki kushare, okay? 🤗
""👨🏾‍⚕️Healthcare professionals 👩🏿‍⚕️wako hapo kutuhelp na kutuguide ndio tumake the best decisions for our lives. Most of them are kind na wanajua how to make u comfy 🤗, 

But, hakuna harm in knowing what to do kama msee hayuko very kind...😡 Unaeza kua na idea ya how you can deal with that?""
""1. First things first, if you experience a -ve reaction, remember si fault yako. Ni right yako kuwa hapo, kujua hii info or kuaccess hizo services 💪
2. If you feel uncomfortable, take a moment, close your eyes and breathe. 🧘🏿‍♂️                                       
3. Try kuask question yako tena, and explain vile unafeel.
4. If the response doesn't feel right for you, remember si must uiaccept. You can always walk away, and try again another day, perhaps with a friend or a different clinic 🏥                                                   
5. Remember ini kitu positive kulook after yourself na kuprioritize YOUR wellbeing. After all it's your body=your rules. 😎"""
Health Services,,"Love that! Keep trusting that gut. If u feel uncomfortable because of anything a health practitioner says or does, trust that! You know how u feel and if u feel like you'd like to, there may be a way to give the clinic feedback on your experience ❤️

""Some checkups zinaeza take longer than others so breeeeeathe 💨 u might be asked for a urine au blood sample, au nurse anaeza ask kuswab genitals zako. Ni totally normal, & it's just to check kama everything is ok. 

Usually utaget results zako within a week. The healthworker ata kuguide on next steps kama any follow up is needed. Feeling worried or upset about your results? Your clinic probably has counsellors that can help, reach out - that's what they're there for. 

You've got this! 👊🏿        ""
Ukona questions 😐 ?
""Kuask healthcare workers maswali inaeza feel intimidating, but hii ni time yako! Kila 👩🏿‍⚕️ doci au nurse 👩🏿‍⚕️anaexpect questions, it's in the best interest of your health for you to get the info you need. 

Unaeza ask about when and how you'll hear about your results📋, what to do about sex in the meantime and some tips on kucommunicate with a partner.

It feels good to get the info you need to stay healthy, right? 😎🧑‍⚕️""
I am SO proud of u for taking this step! 💪 Caring for your sexual health sometimes means you have to push through the nerves and seek help and info - you're AWESOME! 🎖"
Health Services,,"""Tumeenda through a loooooot of info, I know 💫. Jipee the time unaneed to process, ask more questions and speak to your frends! Let's keep this learning circle growing 👭.

Ulilearn something from this chat?""
""High-five 🙌🏾 @contact.name! Let's talk again soon ❤️ 

One last quick thing...""
Oh snap, Iza jo! Let's see what else we can talk about 🤓 One last quick thing...
""Kujua about your sexual health na how to seek help is a brave and the right thing to do. Usiwai let msee yeyote akumake ufeel guilty for chatting to WAZZII au kuget the info you need kumake the right decision for you. 

I'm glad tumeweza kuchat leo 🤗
Do u want to talk about something else, or r u ready for a quiz?"""
,,
